model_id,conf_id,model_name,date_time,train_loss,val_loss,epochs,val_idx,val_acc,triplet_val_acc,test_acc,triplet_test_acc,test_pool_acc,val_pool_acc,test_mae,val_mae,test_pool_mae,val_pool_mae
193,111,conf_id_111_model_1_ssl,17-10-2023_15:54:12,18.6862640380859,23.5521602630615,10,1,0,0.961048689138577,0.228230337078652,0.964887640449438,0.47998595505618,,1.28862359550562,,0.52001404494382,
194,111,conf_id_111_model_3_ssl,17-10-2023_16:30:34,16.6463928222656,16.6611385345459,10,3,0,0.974570780693229,0.22998595505618,0.96313202247191,0.481390449438202,,1.26580056179775,,0.518609550561798,
195,112,conf_id_112_model_1_ssl,17-10-2023_17:40:03,31.4666385650635,35.0293617248535,10,1,0,0.937578027465668,0.245435393258427,0.927668539325843,0.490519662921348,,1.25140449438202,,0.509480337078652,
196,112,conf_id_112_model_3_ssl,17-10-2023_18:16:46,33.9301414489746,28.9722137451172,10,3,0,0.958373825720764,0.237359550561798,0.928370786516854,0.500702247191011,,1.25912921348315,,0.499297752808989,
197,113,conf_id_113_model_1_ssl,17-10-2023_19:08:52,74.5999221801758,84.1088638305664,10,1,0,0.866916354556804,0.245084269662921,0.826193820224719,0.498946629213483,,1.26580056179775,,0.501053370786517,
198,113,conf_id_113_model_3_ssl,17-10-2023_19:44:44,78.9138488769531,65.9245223999023,10,3,0,0.890508584386135,0.236306179775281,0.837780898876405,0.477879213483146,,1.29915730337079,,0.522120786516854,
199,114,conf_id_114_model_1,18-10-2023_13:09:45,118.446917661031,157.396464029948,15,0,0.574766355140187,0.721431114275543,0.279494382022472,0.509252205929029,0.514044943820225,0.841121495327103,1.39887640449438,0.481308411214953,0.485955056179775,0.158878504672897
200,114,conf_id_114_model_2,18-10-2023_13:54:30,129.22214533488,163.757781982422,15,1,0.546728971962617,0.703898184407262,0.25561797752809,0.517099917476036,0.530898876404494,0.836448598130841,1.16713483146067,0.509345794392523,0.469101123595506,0.163551401869159
201,115,conf_id_115_model_1,19-10-2023_17:22:42,84.2832213878632,94.2109883626302,15,1,0.598130841121495,0.652901388394446,0.25,0.610455151399733,0.625,0.831775700934579,0.875,0.570093457943925,0.375,0.168224299065421
202,115,conf_id_115_model_2,19-10-2023_18:19:25,67.255440764957,86.2604598999024,15,1,0.668224299065421,0.645158419366323,0.140449438202247,0.588681520980131,0.384831460674157,0.836448598130841,1.50702247191011,0.47196261682243,0.615168539325843,0.163551401869159
203,116,conf_id_116_model_1,19-10-2023_20:16:14,101.667182996538,146.695922851563,35,0,0.598130841121495,0.736205055179779,0.25,0.528692947375103,0.5,0.850467289719626,1.43258426966292,0.457943925233645,0.5,0.149532710280374
204,116,conf_id_116_model_2,19-10-2023_21:59:49,105.853942860497,146.709376017253,35,1,0.570093457943925,0.737006051975792,0.242977528089888,0.515639878118454,0.502808988764045,0.836448598130841,1.42696629213483,0.467289719626168,0.497191011235955,0.163551401869159
205,117,conf_id_117_model_1,25-10-2023_10:40:00,91.9624674691094,110.048508961995,15,0,0.785046728971963,0.815681737273051,0.25,0.581857423982733,0.5,0.925233644859813,1,0.280373831775701,0.5,0.074766355140187
206,117,conf_id_117_model_2,25-10-2023_11:23:16,80.5321404774984,100.079536437988,15,1,0.785046728971963,0.827874688501246,0.25,0.604273789119533,0.5,0.957943925233645,1.5,0.261682242990654,0.5,0.042056074766355
207,118,conf_id_118_model_1,29-10-2023_18:41:45,150.165522649553,188.069753011068,15,0,0.481308411214953,0.659814913685709,0.383426966292135,0.589078270805561,0.688202247191011,0.766355140186916,0.879213483146067,0.64018691588785,0.311797752808989,0.233644859813084
208,118,conf_id_118_model_2,30-10-2023_11:40:58,139.009429189894,178.851094563802,15,1,0.44392523364486,0.670492970279409,0.292134831460674,0.632863581540024,0.515449438202247,0.789719626168224,1.19943820224719,0.644859813084112,0.484550561797753,0.210280373831776
209,119,conf_id_119_model_1,30-10-2023_12:24:29,155.258363077376,195.140762329102,15,0,0.392523364485981,0.644954618259477,0.334269662921348,0.5278597727417,0.592696629213483,0.794392523364486,1.0561797752809,0.714953271028037,0.407303370786517,0.205607476635514
210,119,conf_id_119_model_2,30-10-2023_13:08:55,140.669959301419,180.123128255208,15,1,0.467289719626168,0.671382808328884,0.307584269662921,0.550260267885482,0.60814606741573,0.775700934579439,1.08286516853933,0.616822429906542,0.39185393258427,0.224299065420561
211,120,conf_id_120_model_1,30-10-2023_13:52:05,132.143582057953,182.074165344238,15,0,0.532710280373832,0.664115343538626,0.289325842696629,0.562257982606488,0.518258426966292,0.771028037383178,1.09691011235955,0.551401869158878,0.481741573033708,0.228971962616822
212,120,conf_id_120_model_2,30-10-2023_14:36:22,133.374961958991,162.850835164388,15,1,0.537383177570093,0.711552153791385,0.283707865168539,0.517520472290992,0.582865168539326,0.822429906542056,1.14606741573034,0.532710280373832,0.417134831460674,0.177570093457944
213,121,conf_id_121_model_1,01-11-2023_15:54:50,125.124992370605,171.182327270508,35,0,0.495327102803738,0.684463427656167,0.335674157303371,0.576675871262617,0.532303370786517,0.817757009345794,1.04073033707865,0.607476635514019,0.467696629213483,0.182242990654206
214,121,conf_id_121_model_2,01-11-2023_17:36:28,122.045249938965,172.972763061523,35,1,0.523364485981308,0.689357536928279,0.306179775280899,0.632450961721577,0.528089887640449,0.855140186915888,1.16292134831461,0.560747663551402,0.471910112359551,0.144859813084112
215,124,conf_id_124_model_1,02-11-2023_18:00:19,189.109466552734,223.51725769043,5,0,0.359813084112149,0.581509165331909,0.334269662921348,0.569486764425824,0.674157303370787,0.686915887850467,0.943820224719101,0.869158878504673,0.325842696629213,0.313084112149533
216,124,conf_id_124_model_2,02-11-2023_18:14:50,186.367263793945,214.839248657227,5,1,0.44392523364486,0.601797472859939,0.320224719101124,0.54369009077636,0.648876404494382,0.691588785046729,1.04073033707865,0.780373831775701,0.351123595505618,0.308411214953271
217,125,conf_id_125_model_1,02-11-2023_18:29:04,170.764358520508,205.368255615234,5,0,0.457943925233645,0.617191671115857,0.287921348314607,0.516338157811211,0.615168539325843,0.752336448598131,1.12359550561798,0.724299065420561,0.384831460674157,0.247663551401869
218,125,conf_id_125_model_2,02-11-2023_18:43:12,180.392318725586,210.258361816406,5,1,0.383177570093458,0.608827193450792,0.299157303370786,0.533430140290738,0.61376404494382,0.728971962616822,1.06460674157303,0.803738317757009,0.38623595505618,0.271028037383178
219,126,conf_id_126_model_1,02-11-2023_18:57:30,169.467041015625,203.237030029297,5,0,0.439252336448598,0.621395514417942,0.247191011235955,0.518107662032629,0.515449438202247,0.775700934579439,1.21067415730337,0.752336448598131,0.484550561797753,0.224299065420561
220,126,conf_id_126_model_2,02-11-2023_19:12:14,175.078414916992,203.587448120117,5,1,0.429906542056075,0.623264506941972,0.237359550561798,0.501110899511204,0.50561797752809,0.752336448598131,1.29915730337079,0.724299065420561,0.49438202247191,0.247663551401869
221,127,conf_id_127_model_1,02-11-2023_19:27:05,169.619247436523,201.35774230957,5,0,0.509345794392523,0.626112495550018,0.27247191011236,0.503523138449819,0.537921348314607,0.799065420560748,1.23033707865169,0.658878504672897,0.462078651685393,0.200934579439252
222,127,conf_id_127_model_2,02-11-2023_19:41:28,168.397796630859,210.387481689453,5,1,0.383177570093458,0.609113563545746,0.252808988764045,0.49920650034914,0.521067415730337,0.742990654205607,1.22331460674157,0.789719626168224,0.478932584269663,0.257009345794392
223,128,conf_id_128_model_1_ssl,14-11-2023_20:32:09,33.6022453308105,28.4506587982178,10,1,0,0.954806491885143,0.237710674157303,0.811797752808989,0.488061797752809,,1.25386235955056,,0.511938202247191,
224,128,conf_id_128_model_3_ssl,14-11-2023_21:08:49,29.4952926635742,23.4197654724121,10,3,0,0.958535795270489,0.257373595505618,0.816362359550562,0.50561797752809,,1.23630617977528,,0.49438202247191,
225,129,conf_id_129_model_1_ssl,14-11-2023_21:47:07,107.584259033203,77.7373504638672,10,1,0,0.867665418227216,0.247893258426966,0.684339887640449,0.508778089887641,,1.22155898876405,,0.491221910112359,
226,129,conf_id_129_model_3_ssl,14-11-2023_22:24:50,93.6458511352539,82.0771484375,10,3,0,0.859896339488176,0.255969101123596,0.667837078651685,0.514044943820225,,1.20891853932584,,0.485955056179775,
227,130,conf_id_130_model_1_ssl,14-11-2023_23:02:47,131.397918701172,121.603759765625,10,1,0,0.790761548064919,0.254564606741573,0.575491573033708,0.503511235955056,,1.23700842696629,,0.496488764044944,
228,130,conf_id_130_model_3_ssl,14-11-2023_23:39:30,126.559280395508,108.050903320313,10,3,0,0.82555879494655,0.243679775280899,0.622542134831461,0.514044943820225,,1.22787921348315,,0.485955056179775,
229,122,conf_id_122_model_1,22-11-2023_19:56:19,121.297142028809,159.417373657227,35,0,0.565420560747664,0.718455241146111,0.314606741573034,0.548744683552339,0.570224719101124,0.808411214953271,1.16573033707865,0.5,0.429775280898876,0.191588785046729
230,122,conf_id_122_model_2,22-11-2023_21:36:41,127.709007263184,173.253662109375,35,1,0.570093457943925,0.694874532835024,0.330056179775281,0.540833492033263,0.594101123595506,0.822429906542056,1.02949438202247,0.495327102803738,0.405898876404494,0.177570093457944
231,123,conf_id_123_model_1,23-11-2023_12:00:55,116.091171264648,164.403030395508,35,0,0.574766355140187,0.708170167319331,0.300561797752809,0.568050530057767,0.560393258426966,0.789719626168224,1.13904494382022,0.5,0.439606741573034,0.210280373831776
232,123,conf_id_123_model_2,23-11-2023_13:39:24,125.028732299805,157.598327636719,35,1,0.532710280373832,0.718939124243503,0.268258426966292,0.528923062273853,0.589887640449438,0.827102803738318,1.12780898876405,0.518691588785047,0.410112359550562,0.172897196261682
233,131,conf_id_131_model_1,27-11-2023_19:25:31,231.294586181641,145.532501220703,15,0,0.757009345794392,0.752002135611319,0.25,0.568844029708627,0.5,0.808411214953271,1,0.476635514018692,0.5,0.191588785046729
234,131,conf_id_131_model_2,27-11-2023_20:10:18,93.3834762573242,108.776481628418,15,1,0.803738317757009,0.819451859761523,0.25561797752809,0.522646480035549,0.50561797752809,0.873831775700935,0.991573033707865,0.364485981308411,0.49438202247191,0.126168224299065
235,132,conf_id_132_model_1,28-11-2023_11:44:53,94.5112228393555,108.529388427734,15,0,0.794392523364486,0.822477309129738,0.25,0.557100234875897,0.5,0.897196261682243,1.5,0.247663551401869,0.5,0.102803738317757
236,132,conf_id_132_model_2,28-11-2023_12:27:36,135.634490966797,128.329086303711,15,1,0.752336448598131,0.782256629293469,0.25,0.586761251825049,0.48876404494382,0.845794392523364,1.51123595505618,0.322429906542056,0.51123595505618,0.154205607476636
237,133,conf_id_133_model_1,28-11-2023_14:10:58,110.641212463379,124.872077941895,15,0,0.775700934579439,0.794588821644713,0.127808988764045,0.67135624960325,0.537921348314607,0.873831775700935,1.32865168539326,0.355140186915888,0.462078651685393,0.126168224299065
238,133,conf_id_133_model_2,28-11-2023_14:53:47,98.9872665405273,117.734268188477,15,1,0.785046728971963,0.803310786756853,0.248595505617978,0.643274296959309,0.529494382022472,0.878504672897196,1.46488764044944,0.331775700934579,0.470505617977528,0.121495327102804
